ORIGGPCD;ORIGGPFR;ORIGFDCD;ORIGFDNM;Energie, Règlement UE N° 1169/2011 (kJ/100g);Energie, Règlement UE N° 1169/2011 (kcal/100g);Energie, N x facteur Jones, avec fibres  (kJ/100g);Energie, N x facteur Jones, avec fibres  (kcal/100g);Eau (g/100g);Protéines (g/100g);Protéines brutes, N x 6.25 (g/100g);Glucides (g/100g);Lipides (g/100g);Sucres (g/100g);Amidon (g/100g);Fibres alimentaires (g/100g);Polyols totaux (g/100g);Cendres (g/100g);Alcool (g/100g);Acides organiques (g/100g);AG saturés (g/100g);AG monoinsaturés (g/100g);AG polyinsaturés (g/100g);AG 4:0, butyrique (g/100g);AG 6:0, caproïque (g/100g);AG 8:0, caprylique (g/100g);AG 10:0, caprique (g/100g);AG 12:0, laurique (g/100g);AG 14:0, myristique (g/100g);AG 16:0, palmitique (g/100g);AG 18:0, stéarique (g/100g);AG 18:1 9c (n-9), oléique (g/100g);AG 18:2 9c,12c (n-6), linoléique (g/100g);AG 18:3 c9,c12,c15 (n-3), alpha-linolénique (g/100g);AG 20:4 5c,8c,11c,14c (n-6), arachidonique (g/100g);AG 20:5 5c,8c,11c,14c,17c (n-3) EPA (g/100g);AG 22:6 4c,7c,10c,13c,16c,19c (n-3) DHA (g/100g);Cholestérol (mg/100g);Sel chlorure de sodium (g/100g);Calcium (mg/100g);Chlorure (mg/100g);Cuivre (mg/100g);Fer (mg/100g);Iode (µg/100g);Magnésium (mg/100g);Manganèse (mg/100g);Phosphore (mg/100g);Potassium (mg/100g);Sélénium (µg/100g);Sodium (mg/100g);Zinc (mg/100g);Rétinol (µg/100g);Beta-Carotène (µg/100g);Vitamine D (µg/100g);Vitamine E (mg/100g);Vitamine K1 (µg/100g);Vitamine K2 (µg/100g);Vitamine C (mg/100g);Vitamine B1 ou Thiamine (mg/100g);Vitamine B2 ou Riboflavine (mg/100g);Vitamine B3 ou PP ou Niacine (mg/100g);Vitamine B5 ou Acide pantothénique (mg/100g);Vitamine B6 (mg/100g);Vitamine B9 ou Folates totaux (µg/100g);Vitamine B12 (µg/100g)
14.1;Crustacés et mollusques, crus;10017;Clam, Praire ou Palourde, cru; 280;  66; 280;  66;82.7;10.7;10.7;3.91;0.83;0;0;0;0;1.82;0;0;0.19;0.12;0.19;0;0;0;0;               0.004;               0.008;0.11;0.05;               0.054;               0.027;               0.015;-;               0.043;               0.064;  30; 1.5;  39;-;               0.053;1.62;  80;  19;               0.085; 198;  46;-; 601;0.51;  90;0;0;0.68; 0.2;-;0;               0.015;0.04;0.35;0.15;0.01;   5;11.3
14.1;Crustacés et mollusques, crus;10003;Coquille Saint-Jacques, noix et corail, crue; 351;  83; 351;  83;79.3;  17;  17;0.78;1.31;0;-;0;0;1.62;0;0;0.19;               0.096;0.38;0;0;0;0;               0.001;0.02;0.12;0.04;               0.011;              0.0076;              0.0086;-;0.12;0.14;42.2;0.48; 220;-;< 0.09;1.16;42.6;51.4; 2.4; 225; 388;21.4; 191;2.91;   2;0;< 0.5;0;0;-;0;< 0.04;0.14; 1.9; 0.4; 0.1;  16;4.99
14.1;Crustacés et mollusques, crus;10039;Crabe, cru; 550; 131; 550; 131;72.4;23.1;23.1;0;4.23;0;0;0;0; 1.9;0;0;0.59;1.23;1.91;-;-;-;-;0;               0.055;0.42;               0.063;0.71;               0.047;               0.041;               0.009;0.32;0.15;  78;0.54; 120;-;0.44; 3.5;  60;  51;-; 220; 152;  82; 215;11.9;   2;0;0; 2.4;0;-;0;0.05; 0.4; 1.7;0.71; 0.3;  20;13.5
14.1;Crustacés et mollusques, crus;10059;Crevette rose, crue; 383;90.1; 383;90.1;76.3;20.6;20.6;1.11;0.38;0;-;0;0;1.62;0;0;               0.081;               0.078;0.13;0;0;0;0;0;              0.0016;               0.048;               0.026;               0.036;               0.017;               0.002;               0.035;0.03;               0.039; 112; 0.3;  64;-;0.39;0.52;-;  35;               0.033; 214; 264;-; 119;1.34;-;-;-;-;-;-;-;-;-;-;-;-;-;-
14.1;Crustacés et mollusques, crus;10021;Crevette, crue; 422;99.5; 422;99.5;74.3;21.4;21.4;1.43;0.92;0;-;0;0;1.99;0;0;0.19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-; 150; 0.6;84.8;-;0.72;0.49; 120;49.8;0.17; 195; 278;  34; 242;2.81;-;-;< 0.2; 1.7;-;-;0;               0.035;0.03; 3.2;0.37;0.15;  19;   1
14.1;Crustacés et mollusques, crus;10008;Escargot, cru; 330;77.9; 330;77.9;79.1;16.1;16.1;1.29;0.92;0;-;0;0;2.59;0;0;0.29; 0.2;0.26;0;0;0;0;0;               0.029;0.16;               0.088;0.11;0.12;               0.016;-;0.12;0;57.5;0.35;  90;-; 2.8; 2.6;   6;48.3; 1.2; 157;  35;-; 138;1.17;  30;0;< 0.5;   5; 0.1;-;  15;0.02;0.12; 1.7;-;               0.028; 8.5;0.92
14.1;Crustacés et mollusques, crus;34500;Grenouille, cuisse, crue; 297;70.1; 297;70.1;  82;16.4;16.4;0.48; 0.3;0;0;0;0;0.89;0;0;               0.076;               0.053; 0.1;0;0;0;0;0;               0.001;               0.054;               0.021;-;-;-;-;               0.014;0.02;  50;0.14;  18;-;0.25;1.43;   6;21.5;-; 147; 298;-;54.4;   1;  15;0; 0.2;   1; 0.1;-;   5;0.14;0.25; 1.2;-;0.66;  15; 0.4
14.1;Crustacés et mollusques, crus;10010;Homard, cru; 354;83.6; 354;83.6;78.5;17.5;17.5;0.63;1.21;0;0;0;0;2.14;0;0;0.16;0.27;0.39;0;0;0;0;              0.0019;               0.012; 0.1;               0.044;0.18;0.04;               0.054;               0.005;0.18;               0.093; 128; 0.9;68.8;-; 1.3; 0.5; 240;34.2;0.19; 153; 169;< 2.2; 361;2.96;   1;0;0;1.19;0;-; 2.5;               0.053;               0.032; 1.8;1.47;0.16;13.5;3.78
14.1;Crustacés et mollusques, crus;10035;Huître creuse, crue; 283;67.2; 283;67.2;83.3;8.64;8.64;3.86;1.91;0;0;0;0; 2.3;0;0;0.34;0.23;0.35;0;0;0;0;             0.00042;               0.044;0.21;               0.052;               0.039;               0.015;               0.012;-;0.15;               0.071;20.3;1.18;77.9;-;1.41;2.07; 101;71.6;0.66;94.6; 215;28.6; 470;26.8;14.2;0;< 0.5;1.21;-;-; 6.5;               0.037;0.15;1.95;0.65;               0.095;  10;28.6
14.1;Crustacés et mollusques, crus;10036;Huître plate, crue; 226;53.5; 226;53.5;85.7;10.2;10.2;1.16; 0.9;0;0;0;0;2.04;0;0;0.17;0.21;0.19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;  98;1.28; 186;-;-;   6;-;-;-; 267; 260;-; 510;  45;  75;0;0.54;0.46;-;-;0; 0.1; 0.2; 1.5;-;0.16;  10;-
14.1;Crustacés et mollusques, crus;10011;Huître, sans précision, crue; 283;67.2; 283;67.2;83.3;8.64;8.64;3.86;1.91;traces;traces;0;0; 2.3;0;0;0.34;0.23;0.35;-;-;-;-;-;               0.044;0.21;               0.052;               0.039;               0.015;               0.012;               0.017;0.15;               0.071;20.3;1.56;98.7; 820;1.24;2.21; 101;97.9;0.51;94.6; 158;21.4; 623;20.7;14.2;-;< 0.5;1.21;0;-; 7.7;               0.037;0.15;1.95;0.65;               0.095;  18;28.6
14.1;Crustacés et mollusques, crus;10015;Langouste, crue; 364;86.1; 364;86.1;78.6;18.2;18.2;0.61; 1.2;0;0;0;0;1.39;0;0;0.22;0.28;0.59;0;0;0;0;0;              0.0056;0.14;               0.074;0.08;-;-;0.19;0.27;0.11;  70;0.45;58.5;-;0.38;1.26;  65;34.5;               0.015; 238; 180;-; 180;5.67;   5;0;-;1.47;-;-;   2;               0.007;               0.046;4.25;0.35;0.18;   1; 3.5
14.1;Crustacés et mollusques, crus;10024;Langoustine, crue; 401;94.7; 401;94.7;75.3;19.6;19.6;1.98;0.92;0;-;0;0;2.21;0;0;0.24; 0.2;0.29;-;-;-;-;0;               0.015;0.11;0.05;0.18;               0.025;               0.034;              0.0031;0.16;               0.074;79.4;0.72;48.3;-; 0.7;1.98; 141;67.5;0.04; 144; 213;  55; 287; 4.6;0;-;0; 1.5;0;-;   3;0.13;0.01;   2; 1.5;0.21;  17; 0.9
14.1;Crustacés et mollusques, crus;10014;Moule commune, crue; 299;  71; 299;  71;  83;11.9;11.9;1.71;1.84;0;0;0;0; 1.6;0;0;0.44; 0.5;0.54;0;0;0;0;0;               0.053;0.26; 0.1;0.13;               0.037;               0.029;               0.082; 0.2;0.17;  33;1.09;  28; 462;0.16;7.98; 140;36.5;1.82; 171; 233;  46; 434; 2.5;  66;0;0;2.03; 0.1;-;   8;0.16;0.21; 1.6; 0.5;               0.073;41.9;11.1
14.1;Crustacés et mollusques, crus;10026;Moule de Méditerranée, crue; 290;68.7; 290;68.7;83.7;10.7;10.7;2.77;1.67;0;-;0;0;1.23;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;  88;-; 1.1;10.9;-;  44; 0.8;-; 382;-;-; 4.6;-;-;-;-;-;-;-;-;-;-;-;-;-;-
14.1;Crustacés et mollusques, crus;10041;Ormeau, cru; 421;99.3; 421;99.3;74.6;17.1;17.1;6.01;0.76;0;-;0;0;1.57;0;0;0.15;0.11; 0.1;0;0;0;0;0;               0.023; 0.1;               0.021;-;-;-;-;               0.049;0;  85;0.75;  31;-; 0.2;3.19;-;  48;0.04; 190; 250;-; 301;0.82;   2;0;0;   4;-;-;   2;0.19; 0.1; 1.5;   3;0.15;   5;0.73
14.1;Crustacés et mollusques, crus;10048;Pecten d'Amérique ou Peigne du canada, noix, crue; 348;82.1; 348;82.1;78.7;17.3;17.3; 1.6;0.72;0;-;0;0;1.67;0;0;-;-;0.34;-;-;-;-;-;               0.015;0.13;               0.035;-;              0.0032;              0.0014;              0.0093;0.14;0.18;-;-;  22;-;-;-;-;-;-; 234;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
14.1;Crustacés et mollusques, crus;10018;Poulpe, cru; 240;56.6; 240;56.6;85.4;12.9;12.9;0.09; 0.5;0;< 0.2;0;0;1.05;0;0;0.16;               0.058;0.13;0;0;0;0;0;               0.004; 0.1;               0.044;               0.019;              0.0012;              0.0006;-;0.04;               0.081; 123;0.68;40.5;0;0.44; 3.4;20.5;  30;               0.018; 148; 291;19.5; 271;1.65;  45;0;   1;1.65; 0.1;-;   5;               0.049;               0.057;2.65; 0.5;0.36;  13;  15
14.1;Crustacés et mollusques, crus;10049;Pétoncle ou Peigne du Pérou, noix, crue; 376;88.7; 376;88.7;-;17.5;17.5; 3.1; 0.7;0;-;0;0;0.38;0;0; 0.3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.38;-;-;-;-;-;-;-;-;-;-; 150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
14.1;Crustacés et mollusques, crus;10016;Seiche, crue; 327;77.2; 327;77.2;80.3;15.8;15.8;1.22;   1;0;0;0;0;1.68;0;0;0.32;               0.071;0.43;-;-;-;-;0;               0.019;0.15;               0.044;               0.046;              0.0084;              0.0091;               0.059;0.07;0.16; 112;1.26;45.8;0;0.59;3.26;  21;  30;0.11; 387; 354;  65; 502;1.73;  25;0;0; 2.4;-;-; 5.3;               0.009;0.91;1.22; 0.5;0.15;  16;   3
14.1;Crustacés et mollusques, crus;10030;Écrevisse, crue; 287;67.7; 287;67.7;  83;14.8;14.8;0.47;0.74;0;0;0;0;   1;0;0;0.14;0.14;0.22;-;-;-;-;0;              0.0085;               0.097;               0.026;-;               0.007;               0.015;-;0.12;               0.027; 133;0.16;  25; 280;0.24;0.55;   4;  30;0.15; 218; 261;  70;  62;1.01;16.5;0; 0.5; 1.5;0;-; 0.5;               0.028;               0.036;1.88;0.57;1.09;  30; 2.4
05.3;Crèmes et spécialités à base de crème;19430;Crème de lait, 15 à 20% MG, légère, liquide, UHT;-;-;-;-;  77;2.64;2.58; 4.5;14.6; 4.5;0;0;0; 0.6;0;-;9.97;3.58;0.38; 0.5;0.26;0.17;0.37;0.51;1.58;4.26;1.32;3.05;0.25; 0.1;-;-;-;38.8;0.12;  99;  80;               0.007;0.04;  12;  10;               0.007;  84; 128; 1.3;49.1;0.35; 113;-;0.18;0.34;0;-; 0.5;               0.036;0.19;0.08; 0.3;               0.047;  12;0.37
05.3;Crèmes et spécialités à base de crème;19410;Crème de lait, 30% MG, épaisse, rayon frais;1340; 323;1340; 324;56.6;2.47;2.42; 9.4;30.5; 2.8;< 0.2;0;0;0.53;0;0.55;21.8;6.39;0.65;1.23;0.73;0.45;1.01;1.16;3.68;9.44;3.28;6.39;0.47;0.15;               0.025;               0.015;0;94.8;               0.066;76.9;73.7;              0.0075;0.08;10.8;7.92;              0.0018;  64; 101;< 2.2;26.5;0.24; 195;  73;< 0.2; 0.5;0;-;< 0.5;               0.024;0.17;0.16;0.24;               0.034;23.5;0.12
05.3;Crèmes et spécialités à base de crème;19433;Spécialité à base de crème légère 8% MG, fluide ou épaisse;-;-;-;-;  83;2.82;2.76; 6.6;8.53;-;-;0;0; 0.6;0;-;5.46;2.34;0.26;0.28;0.28;0.15;0.27; 0.3;0.88; 2.4;0.89;2.08;0.18;               0.078;-;0;0;  30; 0.1; 105;-;               0.007;0.04;10.6;  10;               0.007;  80; 140; 1.3;  40;0.34;76.9;-;0.14;0.23;0;-; 0.9;0.04;0.17;0.08; 0.3;0.04;  13;0.25
28.0;Epices;11025;Cannelle, poudre;1000; 243;1000; 243;10.6;3.87;3.87;27.5;1.22;2.17;-;53.1;0; 3.6;0;traces;0.44;0.31;               0.077;0;0;0;               0.004;              0.0075;               0.012;0.13; 0.1;0.31;               0.063;               0.013;0;0;0;0;               0.025;1000;-;0.34;8.32;-;  60;17.5;  64; 431; 3.1;  10;1.83;0; 112;0;2.32;31.2;-; 3.8;               0.022;               0.041;1.33;0.36;0.16;   6;0
28.0;Epices;11075;Cardamome, poudre;1340; 321;1340; 321;8.28;10.8;10.8;40.5; 6.7;-;-;  28;0;5.78;0;traces;-;-;-;-;-;-;0;0;0.03;0.57;0.06;-;-;-;-;-;-;0;               0.045; 383;-;0.38;  14;-; 229;  28; 178;1120;-;  18;7.47;0;-;0;-;-;-;  21; 0.2;0.18; 1.1;-;0.23;-;0
28.0;Epices;11064;Carvi, graine;1380; 334;1380; 334;9.87;19.8;19.8;11.9;14.6;0.64;-;  38;0;5.87;0;traces;0.62;7.13;3.27;0;0;0;0.01;0.01;0.04; 0.4;0.11;-;-;-;-;0;0;0;               0.043; 689;-;0.91;16.2;-; 258; 1.3; 568;1350;-;  17; 5.5;0; 206;0; 2.5;0;-;  21;0.38;0.38;3.61;-;0.36;  10;0
28.0;Epices;11052;Clou de girofle;1390; 335;1390; 335;9.87;5.97;5.97;31.6;  13;2.38;-;33.9;0;5.63;0;traces;3.95;1.39;3.61;0;               0.009;               0.026;0.13;               0.035;0.26;1.86;0.68;0.78;2.56;0.59;-;               0.008;0;0;0.69; 632;-;0.37;11.8;-; 259;60.1; 104;1020;-; 277;2.32;0;  45;0;8.82; 142;-; 0.2;0.16;0.22;1.56;0.51;0.39;  25;0
28.0;Epices;11026;Coriandre, graine;1430; 346;1430; 346;8.88;12.4;12.4;  13;17.8;-;-;41.9;0;6.01;0;traces;0.97;13.6;1.76;-;-;-;-;-;0.02;0.81;0.11;13.5;1.76;-;-;-;-;0;               0.088; 709;-;0.98;16.3;-; 330; 1.9; 409;1270;-;  35; 4.7;0;-;0;-;-;-;  21;0.24;0.29;2.13;-;-;0;0
28.0;Epices;11042;Cumin, graine;1780; 427;1780; 427;8.08;17.8;17.8;33.7;22.3;2.25;-;10.5;0;7.62;0;traces;1.54;  14;3.28;0;0;0;               0.018;               0.018;               0.018;1.14;0.34;  14;2.53;0;-;0;0;0;0.42; 931;-;0.87;66.4;-; 366;3.33; 499;1790;-; 168; 4.8;0; 762;0;3.33; 5.4;-; 7.7;0.63;0.33;4.58;-;0.44;  10;0
28.0;Epices;11089;Curcuma, poudre;1220; 291;1220; 291;12.9;9.68;9.68;44.4;3.25;3.21;-;22.7;0;7.08;0;traces;1.84;0.45;0.76;0;0;               0.003;0.85;               0.003;0.39;0.16;               0.003;               0.075;-;               0.003;-;0;0;0;               0.068; 168;-; 1.3;  55;-; 208;19.8; 299;2080;-;  27; 4.5;0;-;0;4.43;13.4;-; 0.7;               0.058;0.15;1.35;0.54;0.11;  20;0
28.0;Epices;11005;Curry, poudre;1230; 301;1230; 301; 8.8;14.5;14.5;2.63;  14;2.63;-;53.2;0;7.07;0;traces;1.65;8.78;3.06;               0.012;               0.038;               0.013;               0.013;0;0.64;0.68;0.17;8.74;-;0.26;-;0;0;0;0.13; 525;-; 1.2;19.1; 0.5; 255; 8.3; 367;1170;-;  52; 4.7;0;  11;0;25.2;99.8;-; 0.7;0.18; 0.2;3.26;1.07;0.11;  56;0
28.0;Epices;11077;Fenugrec, graine;1470; 350;1470; 350;8.84;27.1;27.1;33.8;6.41; 8.7;-;24.6;0; 3.4;0;traces;1.46;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0.17; 176;-;1.11;33.5;-; 191;1.23; 296; 770;-;  67; 2.5;0;-;0;-;-;-;   3;0.32;0.37;1.64;-; 0.6;  57;0
28.0;Epices;11006;Gingembre, poudre;1410; 336;1410; 336;9.66;9.05;9.05;58.3;4.24;3.39;54.9;14.1;0;5.22;0;traces; 2.6;0.48;0.93;0;               0.027;0;1.56;               0.068;               0.044;0.57;0.23;0.36;-;0.22;-;0;0;0;               0.068; 114;-;0.48;19.8;-; 214;33.3; 168;1320;-;  27;3.64;0;  18;0;0; 0.8;-; 0.7;               0.046;0.17;9.62;0.48;0.63;  13;0
28.0;Epices;11053;Laurier, feuille;1480; 353;1480; 353;5.44;7.61;7.61;48.6;8.36;48.6;-;26.3;0;3.62;0;traces;2.28;1.64;2.29;0;0;0.01;0.01;0.53;0.21;1.27;0.16;-;-;-;-;0;0;0;               0.058; 834;-;0.42;  43;-; 120;8.17; 113; 529;-;  23; 3.7;0;3710;0;1.79;-;-;46.5;               0.009;0.42;2.01;-;1.74; 180;0
28.0;Epices;11048;Noix de muscade;2100; 507;2080; 504;6.22; 5.3;6.26;28.5;36.3;2.99;-;20.8;0;2.32;0;traces;25.9;3.22;0.35;0;0;0;0;0.37;22.8;2.26;0.17;-;-;-;-;0;0;0;0.04; 184;-;1.03;3.04;-; 183; 2.9; 213; 350; 1.6;  16;2.15;0;  28;0;0;0;-;   3;0.35;               0.057; 1.3;-;0.16;  76;0
28.0;Epices;11049;Paprika;1320; 319;1320; 319;11.2;14.1;14.1;19.1;12.9;10.3;-;34.9;0;7.74;0;traces;2.14; 1.7;7.77;0;0;0;0;               0.068;0.17;1.47;0.34; 1.6;-;0.45;-;0;0;0;0.17; 229;-;0.71;21.1;-; 178;1.59; 314;2280;-;  68;4.33;0;-;0;29.1;80.3;-; 0.9;0.33;1.23;10.1;2.51;2.14;  49;0
28.0;Epices;11061;Pavot, graine;2280; 551;2280; 551;6.38;19.7;19.7;13.7;43.1;2.99;-;14.8;0;6.59;0;traces;4.69;6.16;29.7;0;               0.037;0;0;0;               0.077;3.85;0.73;6.02;29.4;0.29;0;0;0;0;               0.059;1440;-;1.63;9.58;-; 339;6.71; 860; 710;-;23.5;9.05;0;-;0;1.14;0;-;   1;0.85;0.14;0.94;0.32; 0.4;  82;0
28.0;Epices;11019;Poivre blanc, poudre;1300; 310;1300; 310;11.4;11.4;11.4;48.3;2.11;-;traces;26.2;0; 1.6;0;traces;0.63;0.79;0.62;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;               0.013; 265;-;0.91;14.3;-;  90; 4.3; 176;  73;   3;   5;1.13;0;-;0;-;0;-;  21;               0.022;0.13;0.21;-; 0.1;  10;0
28.0;Epices;11088;Poivre de Cayenne ou piment de Cayenne;1560; 376;1560; 376;8.05;  12;  12;29.4;17.3;10.3;-;27.2;0;6.04;0;traces;3.26;2.75;8.37;0;0;0;0.03;0.03;0.09;2.36;0.49;-;-;-;-;0;0;0;               0.075; 148;-;0.37; 7.8;-; 152;   2; 293;2010;-;  30;2.48;0;-;0;29.8;80.3;-;76.4;0.33;0.92; 8.7;-;2.45; 106;0
28.0;Epices;11020;Poivre gris, poudre;1190; 283;1190; 283;12.5;12.1;12.1;38.7;3.26;0.64;-;25.3;0;4.49;0;traces;1.39;0.74;   1;0;               0.012; 0.1;-;               0.093;               0.033;0.53;0.33;0.65;-;0.15;-;0;0;0;0.05; 443;-;1.33;9.71;-; 171;12.8; 158;1330;-;  20;1.19;0; 310;0;1.04; 164;-;0;0.11;0.18;1.14; 1.4;0.29;  17;0
28.0;Epices;11015;Poivre noir, poudre;1260; 301;1260; 301;11.5;11.4;11.4;43.5;3.29;0.64;-;25.9;0; 4.4;0;traces; 1.2;0.74;   1;0;               0.012; 0.1;               0.036;               0.093;0.03;0.53;0.33;0.65;0.86;0.14;-;0;0;0;0.08; 440;-;1.23;19.3;   1; 183;12.8; 166;1290; 3.1;  32;1.31;0; 310;0;0.72; 164;-;  21;0.11;0.21;1.14; 1.4;0.32;13.5;0
28.0;Epices;11056;Quatre épices;1460; 348;1460; 348;8.46;6.09;6.09;50.5;8.69;-;-;21.6;0;4.65;0;traces;2.55;0.66;2.36;0;0;0;0;0;0.02;0.49;1.99;-;-;-;-;0;0;0;0.19; 661;-;0.55;7.06;-; 135;2.94; 113;1040;-;  77;1.01;0;-;0;-;-;-;39.2; 0.1;               0.063;2.86;-;0.21;  36;0
28.0;Epices;11039;Safran;1490; 352;1490; 352;11.9;11.4;11.4;61.5;5.85;42.4;19.1; 3.9;0;5.45;0;traces;1.59;0.43;2.07;0;0;0;0;0;               0.006;1.16;0.25;-;-;-;-;0;0;0;0.37; 111;-;0.33;11.1;-; 264;28.4; 252;1720;-; 148;1.09;0; 318;0;1.69;-;-;80.8;0.12;0.27;1.46;-;1.01;  93;0
28.0;Epices;11065;Vanille, extrait alcoolique; 996; 240; 996; 240;64.5;0.05;0.05;2.41;0;-;-;0;0;0.22;32.9;traces;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0.01;-;-;               0.023;0.13;-;   5;0.48;  22;  98;-;   4;0.06;0;-;0;-;-;-;0;               0.008;               0.071;0.32;               0.026;               0.019;0;0
01.1;Farines et amidons;9510;Amidon de maïs ou fécule de maïs;1550; 364;1550; 364;8.73;0.43;0.43;89.6;0.25;0;  87;0.87;0;0.09;0;0;               0.009;               0.016;               0.025;0;0;0;0;0;0;              0.0081;              0.0009;-;0;-;-;0;0;0;               0.019;   6;-;0.05;0.38; 0.6; 3.5;0.53;  56;   4; 2.8;10.2;0.28;0;0;0;0;0;-;0;0;               0.008;0.03;0;               0.005;   1;0
01.1;Farines et amidons;96781;Amidon de riz;1460; 343;1460; 342;14.2; 0.6;0.63;  85;0;-;-;traces;0;-;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;-;0;0;-;-;-;-;-;-;-;-;-;-
01.1;Farines et amidons;9550;Farine d'orge;1430; 339;1420; 336;13.1;9.91;10.6;64.5; 2.3; 0.8;  56;8.85;0;1.39;0;0;0.43;0.23;1.07;0;0;0;0;               0.004;              0.0085; 0.4;               0.014;0.23;0.97; 0.1;0;0;0;0;              0.0081;27.5;-;0.45;3.59;   5;92.5;1.32; 298; 335;   1;3.25; 2.4;0;0;0;0.41; 2.2;-;0;0.35;0.11;5.98;0.15;0.36;   8;0
01.1;Farines et amidons;9410;Farine de blé tendre ou froment T110;1490; 351;1470; 348;9.96;10.3;11.1;70.6;1.13;1.13;69.4;   7;0;1.03;0;0;0.17;0.13;0.51;0;0;0;0;0;              0.0015;0.17;              0.0047;0.13; 0.5;               0.014;              0.0016;0;0;0;              0.0065;  29;-; 0.3; 1.7; 2.7;64.6; 1.9; 287; 337; 0.1;2.61; 1.8;0;   5;0;0.79;  16;-;< 0.5;0.41;               0.083;2.45; 0.6;0.17;37.3;0
01.1;Farines et amidons;9415;Farine de blé tendre ou froment T150;1430; 338;1410; 334;10.7;11.4;12.2;62.5;1.52;1.77;56.9;12.5;0;1.31;0;0;0.22;0.17;-;-;-;-;-;-;              0.0016; 0.2;               0.014;0.17;0.61;0.04;-;-;-;-;               0.035;31.9;-;0.35; 2.7;-;85.1; 2.7; 323; 407;-;  14; 2.5;-;-;-;1.04;-;-;< 0.5;0.34;0.11;3.48;1.02;0.26;52.4;-
01.1;Farines et amidons;9436;Farine de blé tendre ou froment T55 (pour pains);1470; 348;1460; 344;13.6;10.4;11.4;71.5;1.15;2.71;-;2.93;0;0.47;0;0;0.23;               0.087;0.45;0;0;0;0;0;               0.001;0.22;0.01;-;-;-;-;0;0;0;              0.0049;19.5;-;0.18; 0.9;-;24.9; 0.7; 102; 129;39.7;1.97;0.78;0;   1;0; 0.4; 0.3;-;0;0.12;0.05;1.16;0.49;               0.054;24.7;0
01.1;Farines et amidons;9435;Farine de blé tendre ou froment T65;1460; 345;1440; 341;13.2;12.6;13.8;68.7;0.85;1.68;-; 3.9;0;0.78;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.03;25.3;-;< 0.46;1.31;-;30.4; 0.8; 124; 176; 4.4;6.56; 0.8;-;-;-; 0.5;-;-;-;0.19;0.05;1.46; 0.5;0.08;18.3;-
01.1;Farines et amidons;9445;Farine de blé tendre ou froment T80;1510; 355;1490; 352;10.7;9.95;10.9;73.2;1.18;1.77;70.6; 4.2;0;0.74;0;0;0.17;0.11;-;-;-;-;-;-;              0.0016;0.15;              0.0087;0.11;0.45;               0.026;-;-;-;-;-;25.4;-; 0.2; 1.5;-;45.6; 1.2; 153; 206;-;< 2.72; 1.3;-;-;-;0.79;-;-;< 0.5;0.26;0.06; 1.5; 0.5;0.13;53.8;-
01.1;Farines et amidons;9437;Farine de blé tendre ou froment avec levure incorporée;1490; 350;1470; 346;-;9.12;  10;  74;   1; 2.5;-; 2.5;0;-;0;0; 0.5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.1;Farines et amidons;9545;Farine de maïs;1530; 361;1530; 361;10.5;6.23;6.23;78.1; 2.1;0.64;-;2.55;0;0.53;0;0;0.27;0.48;0.94;0;0;0;0;               0.001;               0.005;0.23;               0.037;0.48;0.91;               0.032;-;0;0;0;              0.0025;   4;-;0.14;1.01; 0.6;32.5;               0.056;79.5; 105; 3.2;   1;0.44;0;  97;0;0.63; 0.3;-;0; 0.2;               0.084;4.18;               0.052;0.21;  34;0
01.1;Farines et amidons;9555;Farine de millet;1590; 375;1590; 375;8.67;11.5;11.5;70.8;4.25;1.64;69.2; 3.5;0;1.21;0;0;0.54;0.92;2.62;               0.007;               0.001;0;               0.008;               0.001;               0.003;0.39;               0.071; 0.9;2.55;               0.044;-;0;0;-;0.01;  14;-;0.54;3.94;-; 119;   1; 285; 224;-;   4;2.63;-;-;-;0.11; 0.8;-;0;0.41;               0.073;6.02;1.27;0.37;  42;-
01.1;Farines et amidons;9580;Farine de pois chiche;1510; 359;1510; 359;10.3;22.4;22.4;  47;6.69;10.9;-;10.8;0;2.82;0;0;0.69; 1.5;2.98;0;0;0;0;0;0.01;0.56;               0.094;-;-;-;-;0;0;0;0.16;  45;-;0.91;4.86;-; 166; 1.6; 318; 846;-;  64;2.81;0;  25;0;0.83; 9.1;-;0;0.49;0.11;1.76;0.61;0.49; 437;0
