ORIGGPCD;ORIGGPFR;ORIGFDCD;ORIGFDNM;Energie, Règlement UE N° 1169/2011 (kJ/100g);Energie, Règlement UE N° 1169/2011 (kcal/100g);Energie, N x facteur Jones, avec fibres  (kJ/100g);Energie, N x facteur Jones, avec fibres  (kcal/100g);Eau (g/100g);Protéines (g/100g);Protéines brutes, N x 6.25 (g/100g);Glucides (g/100g);Lipides (g/100g);Sucres (g/100g);Amidon (g/100g);Fibres alimentaires (g/100g);Polyols totaux (g/100g);Cendres (g/100g);Alcool (g/100g);Acides organiques (g/100g);AG saturés (g/100g);AG monoinsaturés (g/100g);AG polyinsaturés (g/100g);AG 4:0, butyrique (g/100g);AG 6:0, caproïque (g/100g);AG 8:0, caprylique (g/100g);AG 10:0, caprique (g/100g);AG 12:0, laurique (g/100g);AG 14:0, myristique (g/100g);AG 16:0, palmitique (g/100g);AG 18:0, stéarique (g/100g);AG 18:1 9c (n-9), oléique (g/100g);AG 18:2 9c,12c (n-6), linoléique (g/100g);AG 18:3 c9,c12,c15 (n-3), alpha-linolénique (g/100g);AG 20:4 5c,8c,11c,14c (n-6), arachidonique (g/100g);AG 20:5 5c,8c,11c,14c,17c (n-3) EPA (g/100g);AG 22:6 4c,7c,10c,13c,16c,19c (n-3) DHA (g/100g);Cholestérol (mg/100g);Sel chlorure de sodium (g/100g);Calcium (mg/100g);Chlorure (mg/100g);Cuivre (mg/100g);Fer (mg/100g);Iode (µg/100g);Magnésium (mg/100g);Manganèse (mg/100g);Phosphore (mg/100g);Potassium (mg/100g);Sélénium (µg/100g);Sodium (mg/100g);Zinc (mg/100g);Rétinol (µg/100g);Beta-Carotène (µg/100g);Vitamine D (µg/100g);Vitamine E (mg/100g);Vitamine K1 (µg/100g);Vitamine K2 (µg/100g);Vitamine C (mg/100g);Vitamine B1 ou Thiamine (mg/100g);Vitamine B2 ou Riboflavine (mg/100g);Vitamine B3 ou PP ou Niacine (mg/100g);Vitamine B5 ou Acide pantothénique (mg/100g);Vitamine B6 (mg/100g);Vitamine B9 ou Folates totaux (µg/100g);Vitamine B12 (µg/100g)
15.1;Légumes crus;20237;Salsifis, surgelé, cru; 172;41.1; 172;41.1;85.8;2.34;2.34;4.68;0.16; 2.5;-; 5.8;-;               0.043;0;-;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;               0.043;-;-;-;-;-;-;-;-;-;-;  16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
15.1;Légumes crus;20090;Scarole, crue;59.8;14.5;59.8;14.5;93.4;1.33;1.33; 0.3; 0.2;0.23;               0.067; 3.1;-; 1.4;0;-;               0.048;               0.004;               0.088;0;0;0;0;0;               0.003;               0.041;               0.002;               0.004;               0.075;               0.013;0;0;0;0;               0.048;  52;-;               0.099;0.83; 0.4;  15;0.42;  28; 314; 0.6;  22;0.79;0;1500;traces;traces;-;-; 6.5;0.08;               0.075; 0.4; 0.9;0.02; 142;0
15.1;Légumes crus;20172;Tomate cerise, crue;89.7;21.4;89.7;21.4;  92; 0.8; 0.8;   3; 0.4;2.96;0.03; 1.3;               0.013; 0.5;0;-;               0.054;0.06;0.16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;               0.033;  11;  16;0.06; 0.4;   2;  11; 0.1;  30; 290;traces;  13; 0.2;0; 792;0;1.22;-;-;  28;0.06;0.04;   1;0.25;0.14;  17;0
15.1;Légumes crus;20119;Tomate verte, crue; 105;24.8; 105;24.8;  93; 1.2; 1.2;   4; 0.2;   4;-; 1.1;-; 0.5;0;-;               0.028;0.03;               0.081;0;0;0;0;0;0;0.02;               0.007;-;-;-;-;0;0;0;               0.033;  13;-;0.09;0.51;-;  10; 0.1;  28; 204;-;  13;0.07;0; 346;0;0.38;10.1;-;23.4;0.06;0.04; 0.5; 0.5;               0.081;   9;0
15.1;Légumes crus;20047;Tomate, crue;77.2;18.4;77.2;18.4;94.1;0.86;0.86;2.26;0.26;2.25;0; 1.2;               0.012;0.97;0;0.39;               0.056;               0.035;0.12;0;0;0;0;             0.00016;             0.00073;               0.041;               0.011;               0.035;               0.093;              0.0086;0;0;0;< 0.037;              0.0081;8.14;  51;               0.029;0.12; 1.1;10.1;               0.066;26.6; 256;< 10;3.22;               0.087;0; 449;0;0.66; 7.9;-;15.5;               0.039;               0.019;0.65;0.21;               0.082;22.7;0
15.1;Légumes crus;20097;Échalote, crue; 246;58.7; 246;58.7;79.6;1.84;1.84;8.35;1.43;3.63;-; 2.5;-; 0.8;0;-;0.23;               0.014;               0.039;0;0;0;0;0;0;               0.015;               0.001;-;-;-;-;0;0;0;               0.043;  37;-;               0.088; 1.2;   2;  21;0.29;  60; 334;-;  11; 0.4;0;   3;0;0.04; 0.8;-;   8;0.06;0.02; 0.2;0.29;0.35;  34;0
15.1;Légumes crus;20059;Épinard, cru; 122;29.1; 122;29.1;91.1;2.62;2.62;2.25; 0.5;0.33;1.92;2.58;-;1.81;0;-;               0.064;               0.021;0.26;0;0;0;0;0;              0.0093;               0.052;              0.0028;               0.021;               0.045;0.22;0;0;0;0;0.16; 114;  98; 0.1;3.61;2.45;52.5; 1.3;45.2; 504; 0.1;66.7;0.82;0;5630;0;2.47; 438;-;41.1;               0.087;0.21;0.71;0.18;0.21; 207;0
15.2;Légumes cuits;20221;Chou chinois (pak-choi ou pé-tsai), cuit;55.6;13.3;55.6;13.3;95.1;1.53;1.53;0.75;0.17;0.75;-;1.35;-;0.82;0;-;               0.029;               0.016;               0.069;0;0;0;0;             0.00098;             0.00098;               0.024;              0.0025;-;-;-;-;0;0;0;               0.033;56.3;-;               0.032;0.45;-;12.3;0.17;  34; 277;-;13.3;0.24;0;2550;0;0.09;  34;-;20.9;               0.038;               0.054;0.46;0.08;0.17;  47;0
15.2;Légumes cuits;20135;Fondue de poireau; 240;58.4; 240;58.4;-; 1.1; 1.1;0; 5.2;-;-; 3.6;-; 0.5;0;-; 3.6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-; 0.5;-;-;-;-;-;-;-;-;-;-; 200;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
15.2;Légumes cuits;58103;Gombo, fruit, cuit;93.7;22.4;93.7;22.4;92.6;1.87;1.87;2.01;0.21;2.01;-; 2.5;-;0.84;0;-;               0.045;               0.028;               0.046;0;0;0;0;0;0;               0.038;               0.004;-;-;-;-;0;0;0;               0.015;  77;-;               0.085;0.28;-;  36;0.29;  32; 135;-;   6;0.43;0; 170;0;0.27;  40;-;16.3;0.13;               0.055;0.87;0.21;0.19;  46;0
